Model,Configuration,lumber,plywood: 2654,MDF,Veneer,nails,,staple,glue,fabric,thread,foam,foam glue: 2501,fiber padding (100g): 2509,fiber padding (200g): 2697,fiber ball: 2584,duck down,goose down,legs,base,Webbing:4874,packing,carpenter,seamstress,foam labor,Upholster labor,Packing labor,Labor Total,Manufacture total,Overhead,50% profit ,30% profit,Retail
AC-2080,Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2080,Left Armless Loveseat with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2080,Left One-Arm Chaise,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2080,Left One-Arm Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2080,Left One-Arm Sofa with Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2080,Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2080,Ottoman,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2080,Right Armless Loveseat with Bumper,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2080,Right One-Arm Chaise,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2080,Right One-Arm Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2080,Right One-Arm Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2080,Right One-Arm Sofa with Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2080,Sofa,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2081,Armless Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2081,Armless Loveseat,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2081,Corner,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2081,Left One-Arm Chair,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
AC-2081,Left One-Arm Chaise,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,
